,nomClass,time_video,c
1121,particular,1497,3
1122,particular,1498,2
1123,particular,1499,3
1124,particular,1500,4
1125,particular,1502,1
1126,particular,1503,3
1127,particular,1506,1
1128,particular,1507,2
1129,particular,1510,1
1130,particular,1511,2
1131,particular,1512,1
1132,particular,1513,1
1133,particular,1514,1
1134,particular,1518,1
1135,particular,1520,1
1136,particular,1522,1
1137,particular,1526,5
1138,particular,1527,1
1139,particular,1528,2
1140,particular,1529,1
1141,particular,1530,1
1142,particular,1531,2
1143,particular,1533,2
1144,particular,1534,1
1145,particular,1536,1
1146,particular,1537,2
1147,particular,1539,1
1148,particular,1540,1
1149,particular,1541,2
1150,particular,1543,2
1151,particular,1544,1
1152,particular,1545,1
1153,particular,1546,1
1154,particular,1547,2
1155,particular,1550,1
1156,particular,1554,1
1157,particular,1555,1
1158,particular,1557,1
1159,particular,1558,1
1160,particular,1563,2
1161,particular,1564,2
1162,particular,1565,4
1163,particular,1566,2
1164,particular,1568,1
1165,particular,1569,1
1166,particular,1571,2
1167,particular,1572,1
1168,particular,1574,1
1169,particular,1575,1
1170,particular,1578,2
1171,particular,1580,1
1172,particular,1582,2
1173,particular,1583,2
1174,particular,1584,2
1175,particular,1585,1
1176,particular,1586,3
1177,particular,1587,2
1178,particular,1588,1
1179,particular,1589,4
1180,particular,1590,2
1181,particular,1591,2
1182,particular,1592,4
1183,particular,1593,3
1184,particular,1594,4
1185,particular,1595,4
1186,particular,1596,3
1187,particular,1597,3
1188,particular,1598,3
1189,particular,1599,3
1190,particular,1600,2
1191,particular,1601,4
1192,particular,1602,2
1193,particular,1603,3
1194,particular,1604,4
1195,particular,1605,2
1196,particular,1606,2
1197,particular,1607,2
1198,particular,1608,5
1199,particular,1609,1
1200,particular,1610,2
1201,particular,1611,2
1202,particular,1612,2
1203,particular,1613,2
1204,particular,1615,1
1205,particular,1616,1
1206,particular,1618,2
1207,particular,1619,4
1208,particular,1620,2
1209,particular,1621,2
1210,particular,1622,3
1211,particular,1623,1
1212,particular,1624,1
1213,particular,1625,4
1214,particular,1626,1
1215,particular,1628,1
1216,particular,1633,1
1217,particular,1636,1
1218,particular,1637,1
1219,particular,1640,2
1220,particular,1641,1
1221,particular,1642,1
1222,particular,1644,1
1223,particular,1645,2
1224,particular,1646,2
